Year,CountyFIPS,Sex,Age,Population
2020,1,Female,2,3000004
2020,1,Female,2,4000004
2020,1,Female,2,5000003
2020,1,Female,2,6000004
2020,1,Female,2,7000004
2020,1,Female,2,8000004
2020,1,Female,2,9000005
2020,1,Female,2,10000004
2020,1,Female,2,11000003
2020,1,Female,2,12000003
2020,1,Female,2,13000003
2020,1,Female,2,14000002
2020,1,Female,2,15000002
2020,1,Female,2,16000001
2020,1,Female,2,17000000
2020,1,Female,2,18000000
2020,1,Female,2,19000000
2020,1,Female,11,0
2020,1,Female,11,1000000
2020,1,Female,11,2000000
2020,1,Female,11,3000000
2020,1,Female,11,4000000
2020,1,Female,11,5000000
2020,1,Female,11,6000000
2020,1,Female,11,7000000
2020,1,Female,11,8000000
2020,1,Female,11,9000000
2020,1,Female,11,10000000
2020,1,Female,11,11000000
2020,1,Female,11,12000000
2020,1,Female,11,13000000
2020,1,Female,11,14000000
2020,1,Female,11,16000000
2020,1,Female,12,0
2020,1,Female,12,1000000
2020,1,Female,12,2000000
2020,1,Female,12,3000000
2020,1,Female,12,4000000
2020,1,Female,12,5000000
2020,1,Female,12,6000000
2020,1,Female,12,7000000
2020,1,Female,12,8000000
2020,1,Female,12,9000000
2020,1,Female,12,10000000
2020,1,Female,12,11000000
2020,1,Female,12,12000000
2020,1,Female,12,13000000
2020,1,Female,12,15000000
2020,1,Female,12,17000000
2020,3,Male,1,9
2020,3,Male,1,1000039
2020,3,Male,1,2000054
2020,3,Male,1,3000059
2020,3,Male,1,4000055
2020,3,Male,1,5000045
2020,3,Male,1,6000048
2020,3,Male,1,7000050
2020,3,Male,1,8000055
2020,3,Male,1,9000056
2020,3,Male,1,10000060
2020,3,Male,1,11000063
2020,3,Male,1,12000070
2020,3,Male,1,13000070
2020,3,Male,1,14000066
2020,3,Male,1,15000061
2020,3,Male,1,16000041
2020,3,Male,1,17000023
2020,3,Male,1,18000011
2020,3,Male,1,19000004
2020,3,Male,2,8
2020,3,Male,2,1000036
2020,3,Male,2,2000051
2020,3,Male,2,3000058
2020,3,Male,2,4000053
2020,3,Male,2,5000044
2020,3,Male,2,6000050
2020,3,Male,2,7000054
2020,3,Male,2,8000057
2020,3,Male,2,9000060
2020,3,Male,2,10000062
2020,3,Male,2,11000066
2020,3,Male,2,12000076
2020,3,Male,2,13000080
2020,3,Male,2,14000076
2020,3,Male,2,15000067
2020,3,Male,2,16000045
2020,3,Male,2,17000027
2020,3,Male,2,18000014
2020,3,Male,2,19000008
2020,3,Male,11,1
2020,3,Male,11,1000005
2020,3,Male,11,2000005
2020,3,Male,11,3000006
2020,3,Male,11,4000004
2020,3,Male,11,5000003
2020,3,Male,11,6000003
2020,3,Male,11,7000004
2020,3,Male,11,8000005
2020,3,Male,11,9000004
2020,3,Male,11,10000004
2020,3,Male,11,11000003
2020,3,Male,11,12000002
2020,3,Male,11,13000002
2020,3,Male,11,14000001
2020,3,Male,11,15000001
2020,3,Male,11,16000000
2020,3,Male,11,17000000
2020,3,Male,11,18000000
2020,3,Male,11,19000000
2020,3,Male,12,1
2020,3,Male,12,1000003
2020,3,Male,12,2000005
2020,3,Male,12,3000005
2020,3,Male,12,4000004
2020,3,Male,12,5000003
2020,3,Male,12,6000002
2020,3,Male,12,7000003
2020,3,Male,12,8000004
2020,3,Male,12,9000003
2020,3,Male,12,10000003
2020,3,Male,12,11000002
2020,3,Male,12,12000002
2020,3,Male,12,13000002
2020,3,Male,12,14000001
2020,3,Male,12,15000001
2020,3,Male,12,16000000
2020,3,Male,12,17000000
2020,3,Male,12,18000000
2020,3,Male,12,19000000
2020,3,Female,1,1
2020,3,Female,1,1000005
2020,3,Female,1,2000007
2020,3,Female,1,3000008
2020,3,Female,1,4000008
2020,3,Female,1,5000007
2020,3,Female,1,6000008
2020,3,Female,1,7000007
2020,3,Female,1,8000006
2020,3,Female,1,9000006
2020,3,Female,1,10000005
2020,3,Female,1,11000005
2020,3,Female,1,12000006
2020,3,Female,1,13000005
2020,3,Female,1,14000004
2020,3,Female,1,15000003
2020,3,Female,1,16000001
2020,3,Female,1,17000000
2020,3,Female,1,18000000
2020,3,Female,1,19000000
2020,3,Female,2,1
2020,3,Female,2,1000005
2020,3,Female,2,2000007
2020,3,Female,2,3000008
2020,3,Female,2,4000008
2020,3,Female,2,5000006
2020,3,Female,2,6000007
2020,3,Female,2,7000007
2020,3,Female,2,8000006
2020,3,Female,2,9000006
2020,3,Female,2,10000006
2020,3,Female,2,11000005
2020,3,Female,2,12000007
2020,3,Female,2,13000006
2020,3,Female,2,14000005
2020,3,Female,2,15000003
2020,3,Female,2,16000002
2020,3,Female,2,17000001
2020,3,Female,2,18000000
2020,3,Female,2,19000000
2020,3,Female,11,0
2020,3,Female,11,1000000
2020,3,Female,11,2000000
2020,3,Female,11,3000000
2020,3,Female,11,4000000
2020,3,Female,11,5000000
2020,3,Female,11,6000000
2020,3,Female,11,7000000
2020,3,Female,11,8000000
2020,3,Female,11,9000000
2020,3,Female,11,10000000
2020,3,Female,11,11000000
2020,3,Female,11,12000000
2020,3,Female,11,13000000
2020,3,Female,11,14000000
2020,3,Female,11,15000000
2020,3,Female,11,16000000
2020,3,Female,11,17000000
2020,3,Female,12,0
2020,3,Female,12,1000000
2020,3,Female,12,2000000
2020,3,Female,12,3000000
2020,3,Female,12,4000000
2020,3,Female,12,5000000
2020,3,Female,12,6000000
2020,3,Female,12,7000000
2020,3,Female,12,8000000
2020,3,Female,12,9000000
2020,3,Female,12,10000000
2020,3,Female,12,11000000
2020,3,Female,12,12000000
2020,3,Female,12,13000000
2020,3,Female,12,14000000
2020,3,Female,12,15000000
2020,3,Female,12,16000000
2020,3,Female,12,17000000
2020,5,Male,1,0
2020,5,Male,1,1000001
2020,5,Male,1,2000002
2020,5,Male,1,3000002
2020,5,Male,1,4000002
2020,5,Male,1,5000003
2020,5,Male,1,6000003
2020,5,Male,1,7000003
2020,5,Male,1,8000003
2020,5,Male,1,9000003
2020,5,Male,1,10000004
2020,5,Male,1,11000004
2020,5,Male,1,12000004
2020,5,Male,1,13000004
2020,5,Male,1,14000004
2020,5,Male,1,15000003
2020,5,Male,1,16000002
2020,5,Male,1,17000001
2020,5,Male,1,18000000
2020,5,Male,1,19000000
2020,5,Male,2,0
2020,5,Male,2,1000001
2020,5,Male,2,2000002
2020,5,Male,2,3000003
2020,5,Male,2,4000002
2020,5,Male,2,5000002
2020,5,Male,2,6000002
2020,5,Male,2,7000002
2020,5,Male,2,8000002
2020,5,Male,2,9000002
2020,5,Male,2,10000003
2020,5,Male,2,11000003
2020,5,Male,2,12000004
2020,5,Male,2,13000004
2020,5,Male,2,14000004
2020,5,Male,2,15000004
2020,5,Male,2,16000003
2020,5,Male,2,17000002
2020,5,Male,2,18000001
2020,5,Male,2,19000000
2020,5,Male,11,0
2020,5,Male,11,1000000
2020,5,Male,11,2000000
2020,5,Male,11,3000000
2020,5,Male,11,4000000
2020,5,Male,11,5000000
2020,5,Male,11,6000000
2020,5,Male,11,7000000
2020,5,Male,11,8000000
2020,5,Male,11,9000000
2020,5,Male,11,10000000
2020,5,Male,11,11000000
2020,5,Male,11,12000000
2020,5,Male,11,13000000
2020,5,Male,11,14000000
2020,5,Male,11,15000000
2020,5,Male,11,16000000
2020,5,Male,11,17000000
2020,5,Male,11,18000000
2020,5,Male,12,0
2020,5,Male,12,1000000
2020,5,Male,12,2000000
2020,5,Male,12,3000000
2020,5,Male,12,4000000
2020,5,Male,12,5000000
2020,5,Male,12,6000000
2020,5,Male,12,7000000
2020,5,Male,12,8000000
2020,5,Male,12,9000000
2020,5,Male,12,10000000
2020,5,Male,12,11000000
2020,5,Male,12,12000000
2020,5,Male,12,13000000
2020,5,Male,12,14000000
2020,5,Male,12,15000000
2020,5,Male,12,16000000
2020,5,Male,12,18000000
2020,5,Male,12,19000000
2020,5,Female,1,0
2020,5,Female,1,1000003
2020,5,Female,1,2000003
2020,5,Female,1,3000004
2020,5,Female,1,4000004
2020,5,Female,1,5000004
2020,5,Female,1,6000005
2020,5,Female,1,7000005
2020,5,Female,1,8000004
2020,5,Female,1,9000004
2020,5,Female,1,10000003
2020,5,Female,1,11000003
2020,5,Female,1,12000003
2020,5,Female,1,13000002
2020,5,Female,1,14000002
2020,5,Female,1,15000002
2020,5,Female,1,16000001
2020,5,Female,1,17000000
2020,5,Female,1,18000000
2020,5,Female,1,19000000
2020,5,Female,2,0
2020,5,Female,2,1000002
2020,5,Female,2,2000003
2020,5,Female,2,3000004
2020,5,Female,2,4000003
2020,5,Female,2,5000003
2020,5,Female,2,6000003
2020,5,Female,2,7000003
2020,5,Female,2,8000003
2020,5,Female,2,9000002
2020,5,Female,2,10000003
2020,5,Female,2,11000003
2020,5,Female,2,12000003
2020,5,Female,2,13000003
2020,5,Female,2,14000003
2020,5,Female,2,15000003
2020,5,Female,2,16000001
2020,5,Female,2,17000001
2020,5,Female,2,18000000
2020,5,Female,2,19000000
2020,5,Female,11,0
2020,5,Female,11,1000000
2020,5,Female,11,2000000
2020,5,Female,11,3000000
2020,5,Female,11,4000000
2020,5,Female,11,6000000
2020,5,Female,11,7000000
2020,5,Female,11,8000000
2020,5,Female,11,9000000
2020,5,Female,11,10000000
2020,5,Female,11,12000000
2020,5,Female,11,13000000
2020,5,Female,11,14000000
2020,5,Female,11,15000000
2020,5,Female,11,16000000
2020,5,Female,11,17000000
2020,5,Female,12,0
2020,5,Female,12,1000000
2020,5,Female,12,2000000
2020,5,Female,12,3000000
2020,5,Female,12,4000000
2020,5,Female,12,5000000
2020,5,Female,12,6000000
2020,5,Female,12,7000000
2020,5,Female,12,8000000
2020,5,Female,12,9000000
2020,5,Female,12,10000000
2020,5,Female,12,11000000
2020,5,Female,12,12000000
2020,5,Female,12,13000000
2020,5,Female,12,14000000
2020,5,Female,12,15000000
2020,5,Female,12,17000000
2020,5,Female,12,19000000
2020,7,Male,1,0
2020,7,Male,1,1000003
2020,7,Male,1,2000004
2020,7,Male,1,3000005
2020,7,Male,1,4000005
2020,7,Male,1,5000004
2020,7,Male,1,6000005
2020,7,Male,1,7000005
2020,7,Male,1,8000005
2020,7,Male,1,9000005
2020,7,Male,1,10000006
2020,7,Male,1,11000006
2020,7,Male,1,12000006
2020,7,Male,1,13000005
2020,7,Male,1,14000004
2020,7,Male,1,15000004
2020,7,Male,1,16000002
2020,7,Male,1,17000001
2020,7,Male,1,18000000
2020,7,Male,1,19000000
2020,7,Male,2,0
2020,7,Male,2,1000003
2020,7,Male,2,2000004
2020,7,Male,2,3000004
2020,7,Male,2,4000004
2020,7,Male,2,5000004
2020,7,Male,2,6000004
2020,7,Male,2,7000004
2020,7,Male,2,8000004
2020,7,Male,2,9000004
2020,7,Male,2,10000005
2020,7,Male,2,11000005
2020,7,Male,2,12000005
2020,7,Male,2,13000005
2020,7,Male,2,14000004
2020,7,Male,2,15000004
2020,7,Male,2,16000003
2020,7,Male,2,17000002
2020,7,Male,2,18000001
2020,7,Male,2,19000000
2020,7,Male,11,0
2020,7,Male,11,1000000
2020,7,Male,11,2000000
2020,7,Male,11,3000000
2020,7,Male,11,4000000
2020,7,Male,11,5000000
2020,7,Male,11,6000000
2020,7,Male,11,7000000
2020,7,Male,11,8000000
2020,7,Male,11,9000000
2020,7,Male,11,10000000
2020,7,Male,11,11000000
2020,7,Male,11,12000000
2020,7,Male,11,13000000
2020,7,Male,11,14000000
2020,7,Male,11,15000000
2020,7,Male,11,16000000
2020,7,Male,11,17000000
2020,7,Male,11,18000000
2020,7,Male,12,0
2020,7,Male,12,1000000
2020,7,Male,12,2000000
2020,7,Male,12,3000000
2020,7,Male,12,4000000
2020,7,Male,12,5000000
2020,7,Male,12,6000000
2020,7,Male,12,7000000
2020,7,Male,12,8000000
2020,7,Male,12,9000000
2020,7,Male,12,10000000
2020,7,Male,12,11000000
2020,7,Male,12,12000000
2020,7,Male,12,13000000
2020,7,Male,12,14000000
2020,7,Male,12,15000000
2020,7,Male,12,16000000
2020,7,Male,12,17000000
2020,7,Female,1,0
2020,7,Female,1,1000000
2020,7,Female,1,2000001
2020,7,Female,1,3000001
2020,7,Female,1,4000001
2020,7,Female,1,5000002
2020,7,Female,1,6000003
2020,7,Female,1,7000003
2020,7,Female,1,8000002
2020,7,Female,1,9000002
2020,7,Female,1,10000002
2020,7,Female,1,11000001
2020,7,Female,1,12000001
2020,7,Female,1,13000001
2020,7,Female,1,14000000
2020,7,Female,1,15000000
2020,7,Female,1,16000000
2020,7,Female,1,17000000
2020,7,Female,1,18000000
2020,7,Female,1,19000000
2020,7,Female,2,0
2020,7,Female,2,1000001
2020,7,Female,2,2000001
2020,7,Female,2,3000001
2020,7,Female,2,4000000
2020,7,Female,2,5000001
2020,7,Female,2,6000001
2020,7,Female,2,7000001
2020,7,Female,2,8000001
2020,7,Female,2,9000001
2020,7,Female,2,10000001
2020,7,Female,2,11000001
2020,7,Female,2,12000001
2020,7,Female,2,13000001
2020,7,Female,2,14000001
2020,7,Female,2,15000000
2020,7,Female,2,16000000
2020,7,Female,2,17000000
2020,7,Female,2,18000000
2020,7,Female,2,19000000
2020,7,Female,11,0
2020,7,Female,11,2000000
2020,7,Female,11,3000000
2020,7,Female,11,4000000
2020,7,Female,11,5000000
2020,7,Female,11,6000000
2020,7,Female,11,7000000
2020,7,Female,11,8000000
2020,7,Female,11,9000000
2020,7,Female,11,10000000
2020,7,Female,11,12000000
2020,7,Female,11,13000000
2020,7,Female,11,14000000
2020,7,Female,12,0
2020,7,Female,12,2000000
2020,7,Female,12,3000000
2020,7,Female,12,4000000
2020,7,Female,12,5000000
2020,7,Female,12,6000000
2020,7,Female,12,7000000
2020,7,Female,12,8000000
2020,7,Female,12,10000000
2020,7,Female,12,12000000
2020,7,Female,12,18000000
2020,9,Male,1,2
2020,9,Male,1,1000011
2020,9,Male,1,2000014
2020,9,Male,1,3000016
2020,9,Male,1,4000015
2020,9,Male,1,5000014
2020,9,Male,1,6000015
2020,9,Male,1,7000014
2020,9,Male,1,8000014
2020,9,Male,1,9000015
2020,9,Male,1,10000017
2020,9,Male,1,11000018
2020,9,Male,1,12000019
2020,9,Male,1,13000017
2020,9,Male,1,14000015
2020,9,Male,1,15000013
2020,9,Male,1,16000009
2020,9,Male,1,17000005
2020,9,Male,1,18000002
2020,9,Male,1,19000001
2020,9,Male,2,2
2020,9,Male,2,1000010
2020,9,Male,2,2000014
2020,9,Male,2,3000016
2020,9,Male,2,4000015
2020,9,Male,2,5000012
2020,9,Male,2,6000015
2020,9,Male,2,7000015
2020,9,Male,2,8000015
2020,9,Male,2,9000015
2020,9,Male,2,10000017
2020,9,Male,2,11000018
2020,9,Male,2,12000019
2020,9,Male,2,13000017
2020,9,Male,2,14000016
2020,9,Male,2,15000015
2020,9,Male,2,16000010
2020,9,Male,2,17000006
2020,9,Male,2,18000004
2020,9,Male,2,19000002
2020,9,Male,11,0
2020,9,Male,11,1000001
2020,9,Male,11,2000002
2020,9,Male,11,3000003
2020,9,Male,11,4000002
2020,9,Male,11,5000002
2020,9,Male,11,6000002
2020,9,Male,11,7000001
2020,9,Male,11,8000002
2020,9,Male,11,9000002
2020,9,Male,11,10000001
2020,9,Male,11,11000001
2020,9,Male,11,12000001
2020,9,Male,11,13000000
2020,9,Male,11,14000000
2020,9,Male,11,15000000
2020,9,Male,11,16000000
2020,9,Male,11,17000000
2020,9,Male,11,18000000
2020,9,Male,11,19000000
2020,9,Male,12,0
2020,9,Male,12,1000001
2020,9,Male,12,2000002
2020,9,Male,12,3000003
2020,9,Male,12,4000002
2020,9,Male,12,5000001
2020,9,Male,12,6000001
2020,9,Male,12,7000001
2020,9,Male,12,8000001
2020,9,Male,12,9000001
2020,9,Male,12,10000001
2020,9,Male,12,11000001
2020,9,Male,12,12000000
2020,9,Male,12,13000000
2020,9,Male,12,14000000
2020,9,Male,12,15000000
2020,9,Male,12,16000000
2020,9,Male,12,17000000
2020,9,Male,12,18000000
2020,9,Male,12,19000000
2020,9,Female,1,0
2020,9,Female,1,1000000
2020,9,Female,1,2000000
2020,9,Female,1,3000000
2020,9,Female,1,4000000
2020,9,Female,1,5000000
2020,9,Female,1,6000000
2020,9,Female,1,7000000
2020,9,Female,1,8000000
2020,9,Female,1,9000000
2020,9,Female,1,10000000
2020,9,Female,1,11000000
2020,9,Female,1,12000000
2020,9,Female,1,13000000
2020,9,Female,1,14000000
2020,9,Female,1,15000000
2020,9,Female,1,16000000
2020,9,Female,1,17000000
2020,9,Female,1,19000000
2020,9,Female,2,0
2020,9,Female,2,1000000
2020,9,Female,2,2000000
2020,9,Female,2,3000000
2020,9,Female,2,4000000
2020,9,Female,2,5000000
2020,9,Female,2,6000000
2020,9,Female,2,7000000
2020,9,Female,2,8000000
2020,9,Female,2,9000000
2020,9,Female,2,10000000
2020,9,Female,2,11000000
2020,9,Female,2,12000000
2020,9,Female,2,13000000
2020,9,Female,2,14000000
2020,9,Female,2,15000000
2020,9,Female,2,16000000
2020,9,Female,2,17000000
2020,9,Female,2,18000000
2020,9,Female,2,19000000
2020,9,Female,11,0
2020,9,Female,11,1000000
2020,9,Female,11,2000000
2020,9,Female,11,3000000
2020,9,Female,11,4000000
2020,9,Female,11,5000000
2020,9,Female,11,6000000
2020,9,Female,11,7000000
2020,9,Female,11,8000000
2020,9,Female,11,9000000
2020,9,Female,11,10000000
2020,9,Female,11,11000000
2020,9,Female,11,12000000
2020,9,Female,11,15000000
2020,9,Female,11,17000000
2020,9,Female,12,0
2020,9,Female,12,1000000
2020,9,Female,12,2000000
2020,9,Female,12,3000000
2020,9,Female,12,4000000
2020,9,Female,12,5000000
2020,9,Female,12,6000000
2020,9,Female,12,7000000
2020,9,Female,12,8000000
2020,9,Female,12,9000000
2020,9,Female,12,10000000
2020,9,Female,12,11000000
2020,9,Female,12,13000000
2020,9,Female,12,14000000
2020,9,Female,12,16000000
2020,9,Female,12,19000000
2020,11,Male,1,0
2020,11,Male,1,1000000
2020,11,Male,1,2000000
2020,11,Male,1,3000000
2020,11,Male,1,4000000
2020,11,Male,1,5000000
2020,11,Male,1,6000000
2020,11,Male,1,7000000
2020,11,Male,1,8000001
2020,11,Male,1,9000001
2020,11,Male,1,10000001
2020,11,Male,1,11000001
2020,11,Male,1,12000000
2020,11,Male,1,13000001
2020,11,Male,1,14000000
2020,11,Male,1,15000000
2020,11,Male,1,16000000
2020,11,Male,1,17000000
2020,11,Male,1,18000000
2020,11,Male,1,19000000
2020,11,Male,2,0
2020,11,Male,2,1000000
2020,11,Male,2,2000000
2020,11,Male,2,3000000
2020,11,Male,2,4000000
2020,11,Male,2,5000000
2020,11,Male,2,6000000
2020,11,Male,2,7000000
2020,11,Male,2,8000000
2020,11,Male,2,9000000
2020,11,Male,2,10000000
2020,11,Male,2,11000000
2020,11,Male,2,12000000
2020,11,Male,2,13000000
2020,11,Male,2,14000000
2020,11,Male,2,15000000
2020,11,Male,2,16000000
2020,11,Male,2,17000000
2020,11,Male,2,18000000
2020,11,Male,2,19000000
2020,11,Male,11,0
2020,11,Male,11,1000000
2020,11,Male,11,2000000
2020,11,Male,11,3000000
2020,11,Male,11,4000000
2020,11,Male,11,5000000
2020,11,Male,11,6000000
2020,11,Male,11,7000000
2020,11,Male,11,8000000
2020,11,Male,11,9000000
2020,11,Male,11,10000000
2020,11,Male,11,11000000
2020,11,Male,11,12000000
2020,11,Male,11,13000000
2020,11,Male,11,14000000
2020,11,Male,11,15000000
2020,11,Male,12,0
2020,11,Male,12,1000000
2020,11,Male,12,2000000
2020,11,Male,12,3000000
2020,11,Male,12,4000000
2020,11,Male,12,5000000
2020,11,Male,12,6000000
2020,11,Male,12,7000000
2020,11,Male,12,8000000
2020,11,Male,12,9000000
2020,11,Male,12,10000000
2020,11,Male,12,11000000
2020,11,Male,12,13000000
2020,11,Male,12,14000000
2020,11,Male,12,18000000
2020,11,Female,1,0
2020,11,Female,1,1000001
2020,11,Female,1,2000002
2020,11,Female,1,3000002
2020,11,Female,1,4000002
2020,11,Female,1,5000002
2020,11,Female,1,6000003
2020,11,Female,1,7000003
2020,11,Female,1,8000002
2020,11,Female,1,9000002
2020,11,Female,1,10000002
2020,11,Female,1,11000002
2020,11,Female,1,12000002
2020,11,Female,1,13000002
2020,11,Female,1,14000002
2020,11,Female,1,15000001
2020,11,Female,1,16000000
2020,11,Female,1,17000000
2020,11,Female,1,18000000
2020,11,Female,1,19000000
2020,11,Female,2,0
2020,11,Female,2,1000001
2020,11,Female,2,2000002
2020,11,Female,2,3000002
2020,11,Female,2,4000001
2020,11,Female,2,5000001
2020,11,Female,2,6000002
2020,11,Female,2,7000002
2020,11,Female,2,8000002
2020,11,Female,2,9000002
2020,11,Female,2,10000001
2020,11,Female,2,11000002
2020,11,Female,2,12000002
2020,11,Female,2,13000002
2020,11,Female,2,14000002
2020,11,Female,2,15000001
2020,11,Female,2,16000001
2020,11,Female,2,17000000
2020,11,Female,2,18000000
2020,11,Female,2,19000000
2020,11,Female,11,0
2020,11,Female,11,2000000
2020,11,Female,11,3000000
2020,11,Female,11,4000000
2020,11,Female,11,5000000
2020,11,Female,11,6000000
2020,11,Female,11,7000000
2020,11,Female,11,8000000
2020,11,Female,11,9000000
2020,11,Female,11,10000000
2020,11,Female,11,11000000
2020,11,Female,11,12000000
2020,11,Female,11,13000000
2020,11,Female,11,14000000
2020,11,Female,11,16000000
2020,11,Female,11,17000000
2020,11,Female,11,18000000
2020,11,Female,12,0
2020,11,Female,12,1000000
2020,11,Female,12,2000000
2020,11,Female,12,3000000
2020,11,Female,12,4000000
2020,11,Female,12,5000000
2020,11,Female,12,7000000
2020,11,Female,12,8000000
2020,11,Female,12,9000000
2020,11,Female,12,11000000
2020,11,Female,12,12000000
2020,11,Female,12,13000000
2020,11,Female,12,16000000
2020,11,Female,12,17000000
2020,11,Female,12,18000000
2020,13,Male,1,0
2020,13,Male,1,1000001
2020,13,Male,1,2000002
2020,13,Male,1,3000003
2020,13,Male,1,4000002
2020,13,Male,1,5000002
2020,13,Male,1,6000002
2020,13,Male,1,7000002
2020,13,Male,1,8000002
2020,13,Male,1,9000002
2020,13,Male,1,10000003
2020,13,Male,1,11000003
2020,13,Male,1,12000003
2020,13,Male,1,13000004
2020,13,Male,1,14000003
2020,13,Male,1,15000003
2020,13,Male,1,16000002
2020,13,Male,1,17000001
2020,13,Male,1,18000000
2020,13,Male,1,19000000
2020,13,Male,2,0
2020,13,Male,2,1000001
2020,13,Male,2,2000002
2020,13,Male,2,3000002
2020,13,Male,2,4000002
2020,13,Male,2,5000002
2020,13,Male,2,6000002
2020,13,Male,2,7000002
2020,13,Male,2,8000002
2020,13,Male,2,9000002
2020,13,Male,2,10000003
2020,13,Male,2,11000003
2020,13,Male,2,12000003
2020,13,Male,2,13000004
2020,13,Male,2,14000004
2020,13,Male,2,15000003
2020,13,Male,2,16000002
2020,13,Male,2,17000002
2020,13,Male,2,18000001
2020,13,Male,2,19000001
2020,13,Male,11,0
2020,13,Male,11,1000000
2020,13,Male,11,2000000
2020,13,Male,11,3000000
2020,13,Male,11,4000000
2020,13,Male,11,5000000
2020,13,Male,11,6000000
2020,13,Male,11,7000000
2020,13,Male,11,8000000
2020,13,Male,11,9000000
2020,13,Male,11,10000000
2020,13,Male,11,11000000
2020,13,Male,11,12000000
2020,13,Male,11,13000000
2020,13,Male,11,14000000
2020,13,Male,11,15000000
2020,13,Male,11,16000000
2020,13,Male,11,17000000
2020,13,Male,11,18000000
2020,13,Male,12,0
2020,13,Male,12,1000000
2020,13,Male,12,2000000
2020,13,Male,12,3000000
2020,13,Male,12,4000000
2020,13,Male,12,5000000
2020,13,Male,12,6000000
2020,13,Male,12,7000000
2020,13,Male,12,8000000
2020,13,Male,12,9000000
2020,13,Male,12,10000000
2020,13,Male,12,11000000
2020,13,Male,12,12000000
2020,13,Male,12,13000000
2020,13,Male,12,14000000
2020,13,Male,12,15000000
2020,13,Male,12,16000000
2020,13,Male,12,19000000
2020,13,Female,1,0
2020,13,Female,1,1000002
2020,13,Female,1,2000002
2020,13,Female,1,3000003
2020,13,Female,1,4000003
2020,13,Female,1,5000002
2020,13,Female,1,6000002
2020,13,Female,1,7000002
2020,13,Female,1,8000002
2020,13,Female,1,9000002
2020,13,Female,1,10000001
2020,13,Female,1,11000001
2020,13,Female,1,12000002
2020,13,Female,1,13000002
2020,13,Female,1,14000001
2020,13,Female,1,15000001
2020,13,Female,1,16000000
2020,13,Female,1,17000000
2020,13,Female,1,18000000
2020,13,Female,1,19000000
2020,13,Female,2,0
2020,13,Female,2,1000002
2020,13,Female,2,2000002
2020,13,Female,2,3000003
2020,13,Female,2,4000002
2020,13,Female,2,5000002
2020,13,Female,2,6000003
2020,13,Female,2,7000003
2020,13,Female,2,8000003
2020,13,Female,2,9000003
